date,txn_count,avg_gas_fee_eth,max_gas_fee_eth,median_gas_fee_eth
2025-07-23,316558,0.000260487,0.556898383,0.000072783
2025-07-24,1645615,0.000211,0.935525145,0.000061291
2025-07-25,1645045,0.000175845,8.889227079,0.000047533
2025-07-26,1432233,0.000129196,4.816874333,0.000035261
2025-07-27,1478332,0.000131039,4.24596708,0.000036661
2025-07-28,1611473,0.000174327,3.556748599,0.000049043
2025-07-29,1713649,0.000271887,2.584132012,0.00008617
2025-07-30,1820997,0.00033644,3.213953063,0.000154291
2025-07-31,1808183,0.000321583,4.409109859,0.000141218
2025-08-01,1758669,0.000188355,2.465121105,0.000047296
2025-08-02,1642346,0.000124833,3.63712466,0.000032015
2025-08-03,1515955,0.000105307,0.952226119,0.000030035
2025-08-04,1728290,0.000127313,1.040573762,0.000040625
2025-08-05,1878031,0.000179617,1.289531393,0.000047427
2025-08-06,1833756,0.000129135,1.607053499,0.000038019
2025-08-07,1766308,0.000156604,0.791782079,0.00004641
2025-08-08,1711850,0.000183435,1.335100437,0.000048329
2025-08-09,1645152,0.000187675,3.983465749,0.000052332
2025-08-10,1670117,0.000149897,9.143542708,0.000042465
2025-08-11,1723347,0.000196867,2.038584686,0.000058282
2025-08-12,1740117,0.000278111,9.335409792,0.000080771
2025-08-13,1798606,0.000323063,2.737497988,0.000099898
2025-08-14,1760523,0.000342323,4.221346619,0.000086292
2025-08-15,1719513,0.00020179,3.738545478,0.000051346
2025-08-16,1533046,0.000108385,1.2121947,0.000028702
2025-08-17,1532247,0.000114386,1.443412771,0.000031255
2025-08-18,1706017,0.000160884,6.564717501,0.000046763
2025-08-19,1713301,0.000181116,15.528576751,0.000045729
2025-08-20,1696970,0.000176344,4.119353336,0.000045909
2025-08-21,1678588,0.000166734,5.829499648,0.000042
2025-08-22,1299472,0.000364226,5.871218974,0.000057746
